id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1,1,文山區,房地(土地+建物),臺北市文山區保儀路109巷23弄1~30號,14.5,住,1060208,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,NA,88.19,3,2,1,有,無,7280000,82549,,0,0,含增建或未登記建物。
2,2,中正區,房地(土地+建物),臺北市中正區中華路二段313巷1~30號,10.53,住,1060409,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,加強磚造,560519,25.63,1,1,1,有,無,4.00E+06,156067,,0,0,
4,4,文山區,房地(土地+建物),臺北市文山區景中街30巷1~30號,1.24,其他,1060415,土地1建物1車位0,二層,七層,其他,商業用,鋼筋混凝土造,770212,9.05,0,0,0,無,有,1.00E+06,110497,,0,0,
5,5,萬華區,房地(土地+建物),臺北市萬華區峨眉街91~120號,3.1,商,1060308,土地1建物1車位0,二層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,950126,30.88,1,1,2,有,有,7250000,234780,,0,0,含增建或未登記建物。
6,6,萬華區,房地(土地+建物)+車位,臺北市萬華區德昌街121~150號,51.36,住,1060407,土地1建物1車位2,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000131,327.42,4,2,3,有,有,56180000,171584,坡道平面,76.74,0,
7,7,大同區,房地(土地+建物),臺北市大同區重慶北路二段114巷1~30號,31.2,商,1060330,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,700718,133.43,3,2,2,有,無,16300000,122161,,0,0,
8,8,萬華區,房地(土地+建物)+車位,臺北市萬華區西園路二段301~330號,16.67,住,1060324,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041002,132.44,2,2,2,有,有,15200000,114760,升降機械,29.76,0,
10,10,萬華區,房地(土地+建物),臺北市萬華區西藏路125巷1~30號,16.57,商,1060330,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,87.8,2,2,1,有,有,14500000,165148,,0,0,
11,11,萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,45.63,住,1060320,土地4建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103,213.45,4,2,2,有,無,24500000,114781,坡道平面,0,0,
13,13,大同區,房地(土地+建物)+車位,臺北市大同區延平北路四段294巷1~30號,21.93,住,1030219,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050615,103.57,2,2,1,有,無,1.50E+07,154585,坡道機械,17.21,1650000,本案為預售合約價格。
14,14,萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.35,商,1060413,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,64.24,1,1,1,有,有,12480000,194271,,0,0,
15,15,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.58,商,1060331,土地1建物1車位1,二十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,111.1,2,2,1,有,有,18580000,207752,坡道平面,33.7,2500000,
16,16,大同區,房地(土地+建物)+車位,臺北市大同區民權西路144巷1~30號,25.91,住,1060416,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750403,140.78,3,2,2,有,有,1.50E+07,106549,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
17,17,大同區,房地(土地+建物),臺北市大同區保安街78巷1~30號,33.3,商,1060421,土地2建物1車位0,全,一層,透天厝,住家用,磚造,351225,27.84,4,0,1,有,無,20500000,736351,,0,0,
18,18,中山區,房地(土地+建物),臺北市中山區中山北路二段93巷1~30號,4.38,商,1060414,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,920808,44.99,1,1,1,有,有,9500000,211158,,0,0,
19,19,中山區,房地(土地+建物),臺北市中山區建國北路二段91~120號,16.22,住,1060308,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,731101,139.15,3,2,2,有,有,25430000,182752,,0,0,含增建或未登記建物。
20,20,內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街61~90號,44.04,住,1060313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990505,209.66,3,2,2,有,有,42380000,202137,坡道平面,28.29,0,含增建或未登記建物。
21,21,中山區,房地(土地+建物),臺北市中山區樂群二路121~150號,47.09,住,1060314,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628,155.47,3,2,2,有,有,23200000,149225,,0,0,
22,22,內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路65巷1~30號,23.43,住,1060331,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940825,162.84,3,2,2,有,有,26700000,163965,坡道平面,0,0,共有人數2人。含增建或未登記建物。本案車位面積無法概算。
23,23,內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,49.79,其他,1060420,土地1建物1車位2,八層,八層,廠辦,工業用,鋼筋混凝土造,871023,340.86,0,0,0,無,有,14400000,42246,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
24,24,內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,73.55,其他,1060420,土地1建物1車位3,八層,八層,廠辦,工業用,鋼筋混凝土造,871023,503.46,0,0,0,無,有,21400000,42506,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
25,25,中山區,房地(土地+建物),臺北市中山區龍江路292巷1~30號,20.91,住,1060318,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840803,76.37,2,2,1,有,無,15150000,198376,,0,0,含增建或未登記建物。
27,27,中山區,房地(土地+建物),臺北市中山區民生東路一段27巷1~30號,8.1,商,1060414,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,891026,56.21,1,1,1,有,有,9880000,175769,,0,0,
28,28,內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段195巷3弄1~30號,55.06,住,1060307,土地1建物1車位2,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830504,143.21,3,2,2,有,無,1.60E+07,111724,一樓平面,0,0,
29,29,中山區,房地(土地+建物),臺北市中山區新生北路一段31~60號,13.11,住,1060330,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730721,100.31,2,2,1,有,有,16680000,166285,,0,0,含增建或未登記建物。
30,30,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段280巷155弄1~30號,30.13,住,1060419,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031231,273.38,4,2,2,有,有,4.60E+07,168264,坡道平面,58,0,
